LAPORAN ARUS KAS,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,TOTAL,
,KAS MASUK,,,,,,,,,
SIMPANAN WAJIB,,4.400.000,5.650.000,5.500.000,6.000.000,5.650.000,5.650.000,5.550.000,38.400.000,
SIMPANAN POKOK,,200.000,200.000,0,0,200.000,0,0,600.000,
SIMPANAN SUKARELA,1.050.000,1.050.000,1.050.000,400.000,400.000,1.050.000,1.050.000,400.000,6.450.000,
PENDAPATAN BERSIH TOKO,0,115.000,785.000,1.902.500,7.838.414,34.815.401,28.289.851,21.031.145,94.777.311,
PENDAPATAN DARI BMT ITQAN,1.650.128,1.633.783,1.496.947,1.341.732,1.596.114,1.160.807,1.373.988,1.230.568,11.484.067,
TOTAL,,,,,,,,,151.711.378,
,KAS KELUAR,,,,,,,,,
GAJI PENGURUS,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,4.000.000,3.250.000,31.250.000,
GAJI KARYAWAN,0,2.000.000,2.000.000,3.000.000,3.000.000,8.728.000,8.728.000,8.728.000,36.184.000,
PEMBAYARAN UTANG SUPPLIER,0,482.000,16.394.008,2.762.000,2.936.500,3.682.000,,2.482.000,28.738.508,
ASET TETAP,9.021.000,0,0,0,0,0,0,2.000.000,11.021.000,
ATK (alat tulis kantor),437.000,0,0,0,0,0,0,0,437.000,
KEMASAN,0,0,0,0,148.000,1.028.000,753.000,733.000,2662000,
KONSUMSI RAPAT,0,0,0,0,0,1.440.000,1.440.000,1.440.000,4320000,
PENGEMBALIAN SIMPANAN ANGGOTA,0,0,0,4.300.000,0,0,0,0,4300000,
ALAT KEBERSIHAN,0,0,20.000,30.000,50.000,50.000,50.000,50.000,250.000, 
BIAYA ADMIN BANK,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,80.000,
BIAYA ADMIN TRANSFER / DEBET,0,0,20.000,11.600,2.900,8.700,2.900,2.900,49.000,
PAJAK BAGI HASIL BANK,0,2.652,1.892,2.658,1.704,1.846,0,0,10.752,
BIAYA OPERASIONAL LAIN-LAIN,0,170.000,170.000,242.000,242.000,530.000,314.000,242.000,1.910.000,
TOTAL,,,,,,,,,"121.212.260,00",
,,,,,,,,,,
SALDO KAS AWAL,Rp6.964.859,,,,,,,,,
TOTAL KAS MASUK,Rp151.711.378,,,,,,,,,
TOTAL KAS KELUAR,Rp121.212.260,,,,,,,,,
SALDO KAS AKHIR,Rp30.499.118,,,,,,,,,
