TANGGAL,NAMA BARANG,QTY,HARGA BELI,HARGA JUAL,REVENUE,LABA,TOTAL LABA
07/08/2025,Basreng,50,5000,6000,300000,1000,50000
12/08/2025,Kripca Pedas,10,5000,6000,60000,1000,10000
12/08/2025,Kripca Asin,10,5000,6000,60000,1000,10000
12/08/2025,Sebra Pedas,10,5000,6000,60000,1000,10000
12/08/2025,Sebra Asin,10,5000,6000,60000,1000,10000
13/08/2025,Basreng,30,5000,6000,180000,1000,30000
06/08/2025,Makaroni,23,2500,3000,69000,500,11500
15/08/2025,Bayam,44,9000,10000,440000,1000,44000
01/08/2025,Cookies,10,6000,7000,70000,1000,10000
25/08/2025,Makaroni,200,1600,2500,500000,900,180000
12/08/2025,Belimbing,120,"1666,666667",2000,240000,"333,3333333",40000
12/08/2025,Makaroni,120,"1666,666667",2500,300000,"833,3333333",100000
08/08/2025,Z Krim Keju,2,5000,6000,12000,1000,2000
08/08/2025,Z Krim Moka,1,5000,6000,6000,1000,1000
08/08/2025,Z Krim Strawberry,1,5000,6000,6000,1000,1000
08/08/2025,Dryk Ckl,7,6000,7000,49000,1000,7000
08/08/2025,Dryk Straw,10,6000,7000,70000,1000,10000
08/08/2025,Dryk Martabak,4,6000,7000,28000,1000,4000
08/08/2025,Dryk Pandan Sarikaya,1,6000,7000,7000,1000,1000
08/08/2025,Ksr Keju,3,13500,14500,43500,1000,3000
08/08/2025,Sisir Mentega,2,11000,12000,24000,1000,2000
08/08/2025,Sbk Cokelat,1,18000,18500,18500,500,500
08/08/2025,Sbk Keju,1,18000,18500,18500,500,500
08/08/2025,Sbk Sarikaya,2,18000,18500,37000,500,1000
08/08/2025,Ksr Krim Meses,1,11500,12500,12500,1000,1000
08/08/2025,Waffle Ori,2,5000,5500,11000,500,1000
08/08/2025,Sand.Ckl,8,6000,7000,56000,1000,8000
08/08/2025,Sand.Kacang,3,6000,7000,21000,1000,3000
08/08/2025,Sand.Keju,3,6000,7000,21000,1000,3000
08/08/2025,Sand.Sarikaya,16,6000,7000,112000,1000,16000
08/08/2025,Sandzup.Ckl,2,5000,6000,12000,1000,2000
08/08/2025,Sandzup.Moc,4,5000,6000,24000,1000,4000
08/08/2025,Sandzup.Strw,1,5000,6000,6000,1000,1000
08/08/2025,Choco Bun,14,4000,4500,63000,500,7000
08/08/2025,Choco Cheese GT,16,4000,4500,72000,500,8000
08/08/2025,Swe Cheese Bun GT,1,4000,4500,4500,500,500
08/08/2025,Blue Bun GT,1,4000,5000,5000,1000,1000
08/08/2025,Coconut Bun GT,1,4000,4500,4500,500,500
08/08/2025,Z Krim Cokelat,2,5000,6000,12000,1000,2000
28/08/2025,Elang Snack,40,8500,9000,360000,500,20000
09/08/2025,Al Ma'soem Gelas,384,"395,8333333",500,192000,"104,1666667",40000
09/08/2025,Al Ma'soem Kecil,72,"1208,333333",2000,144000,"791,6666667",57000
09/08/2025,Al Ma'soem,696,"1291,666667",3000,2088000,"1708,333333",1189000
TOTAL,,,,,5879000,,1902500
,,,,,5.879.000,,1.902.500
