NAMA BARANG,HARGA BELI,HARGA JUAL,LABA
ABC Moca,1650,3000,1350
ABC Susu,1750,3000,1250
Adem Sari Chingku Herbal Tea,6200,8000,1800
Adem Sari Chingku Lemon Can,5800,8000,2200
Adem Sari Chingku Lemon Pet,5800,8000,2200
Adem Sari Chingku Madu Lemon,6200,8000,1800
Adem Sari Chingku Sparkling,5800,8000,2200
Adem Sari Lemon Pet,5800,8000,2200
Ades,1875,3500,1625
Ahh Cokelat,375,500,125
Aice 3 in 1 Colour,2800,3500,700
Aice 3 In 1 Colour,2800,3500,700
Aice Berry Choco Max Cone,"2471,698113",3000,"528,3018868"
Aice Chocoate Sundae Cup,"4041,666667",4500,"458,3333333"
Aice Chocolate Crispy Stick,2340,3000,660
Aice Chocolate Max Cone,"2471,698113",3000,"528,3018868"
Aice Chocolate Sundae Cup,"2053,5",3000,"946,5"
Aice Crispy Balls,3950,5000,1050
Aice Crispy Balls Cookies N Cream Stick,3950,5000,1050
Aice Durian Cup,"8594,5",9000,"405,5"
Aice Histeria Matcha,"6333,333333",7000,"666,6666667"
Aice Histeria Peach Stick,"6333,333333",7000,"666,6666667"
Aice Histeria Stick,"6333,333333",7000,"666,6666667"
Aice Juju Apple Stick,2925,3500,575
Aice Mangoslush Less Sugar,"4033,333333",4500,"466,6666667"
Aice Mochi Peach,"2312,5",3000,"687,5"
Aice Ria Ria Kacang Hijau Stick,2000,3000,1000
Aice Ria-Ria Kacang Hijau,2000,3000,1000
Aice Sesame Crispy,5100,6000,900
Aice Strawberry Crispy,2750,3500,750
Aice Strawberry Stick,2750,3500,750
Aice Strawberry Sundae Cup,"4041,666667",5000,"958,3333333"
Aice Sweet Corn,2400,3000,600
Al Ma'soem,"1291,666667",3000,"1708,333333"
Al Ma'soem Gelas,"395,8333333",500,"104,1666667"
Al Ma'soem Kecil,1375,2000,625
Ali Agrem,1500,2000,500
Arem,2000,2500,500
Bacang,4500,5000,500
Bakwan,2000,2500,500
Bakwan dan Gehu,1500,2000,500
Baso Cilok Kriwil,10000,11000,1000
Baso Mercon,7000,8000,1000
Baso Tahu,9000,10000,1000
Basreng,5000,6000,1000
Bayam,9000,10000,1000
Bear Brand,"9801,666667",11000,"1198,333333"
Belimbing,"1666,666667",2000,"333,3333333"
Bendera Coklat,830,1500,670
Bendera Putih,830,1500,670
Bengbeng,"2176,470588",2500,"323,5294118"
Beton,2500,3000,500
Better,"1416,666667",2000,"583,3333333"
Blue Bun GT,4000,5000,1000
Bolen,2500,3000,500
Bolu Keju,2500,3000,500
Bolu Kukus,1500,2000,500
Bolu Pisang,7000,8000,1000
Brownies,7000,8000,1000
Buah Potong,7000,8000,1000
Carnation,17500,18500,1000
CC Roll,1500,2000,500
Cente Manis,2000,2500,500
Charm 23 cm,1350,2000,650
Charm Safe Night,2700,3500,800
Cheetos,10200,11000,800
Chif Cokelat,5000,5500,500
Chif Pandan,5000,5500,500
Choco Bun,4000,4500,500
Choco Cheese GT,4000,4500,500
Choco Chips,102000,110000,8000
Chocolatos,875,1000,125
Chocolatos 1000,"895,8333333",1000,"104,1666667"
Chocolatos 500,"458,3333333",500,"41,66666667"
Chocolatos Dark,"895,8333333",1000,"104,1666667"
Chocolatos Mix,"916,6666667",1000,"83,33333333"
Chocolatos Rich Roll,"895,8333333",1000,"104,1666667"
Choki Choki,900,1000,100
Cibay,1500,2000,500
Cicos,4500,5000,500
Cikumy,9000,10000,1000
Cilok,2500,3000,500
Cipet Lakar,4000,5000,1000
Ciqist Keripik,4000,5000,1000
Cireng Danu,2000,2500,500
Cireng Irfan,1500,2000,500
Cireng Japlun,2000,2500,500
Cistik,2500,3000,500
Cococrunch,1700,2000,300
Coconut Bun GT,4000,4500,500
Combro,1500,2000,500
Cookies,6000,7000,1000
Corong,2500,3000,500
Creamy Latte,1700,3000,1300
Cucur,5000,5500,500
Dadar Gulung,2500,3000,500
Dancow Cokelat,"3615,3",4000,"384,7"
Dancow Putih,"3615,3",4000,"384,7"
Danish Bread Cheese,16500,17500,1000
Danish Bread Chocolate,16500,17500,1000
Danish Roll Triple Cheese,7500,8500,1000
Dilan,"1666,666667",2000,"333,3333333"
Dilan 5 in 1,"1833,333333",2000,"166,6666667"
