"NAMA BARANG","HARGA BELI","HARGA JUAL",LABA
"ABC Moca",1650,2150,500
"ABC Susu",1750,2500,750
"Adem Sari Chingku Herbal Tea",6200,8000,1800
"Adem Sari Chingku Herbal Tea 2",5800,7000,1200
"Adem Sari Chingku Lemon Can",5800,7000,1200
"Adem Sari Chingku Lemon Pet",5800,7000,1200
"Adem Sari Chingku Madu Lemon",6200,8000,1800
"Adem Sari Chingku Madu Lemon 2",5800,7000,1200
"Adem Sari Chingku Sparkling",5800,7000,1200
"Adem Sari Chingku Sparkling 2",6200,8000,1800
"Adem Sari Lemon Pet",5800,7000,1200
Ades,1875,2500,625
"Ades 2","1812,50",2500,688
"Ahh Cokelat",375,500,125
"Aice 3 in 1 Colour",2800,3500,700
"Aice 3 In 1 Colour",2800,3500,700
"Aice Berry Choco Max Cone","2471,70",3000,528
"Aice Chocoate Sundae Cup","4041,67",5000,958
"Aice Chocolate Crispy Stick",2340,3000,660
"Aice Chocolate Max Cone","2471,70",3000,528
"Aice Chocolate Sundae Cup","2053,50",2554,500
"Aice Chocolate Sundae Cup 2","4041,67",5000,958
"Aice Crispy Balls",3950,5000,1050
"Aice Crispy Balls Cookies N Cream Stick",3950,5000,1050
"Aice Durian Cup","8594,50",10000,1406
"Aice Histeria Matcha","6333,33",7500,1167
"Aice Histeria Matcha 2",3800,4500,700
"Aice Histeria Peach Stick","6333,33",7500,1167
"Aice Histeria Stick","6333,33",7500,1167
"Aice Histeria Stick 2",3800,4500,700
"Aice Juju Apple Stick",2925,3500,575
"Aice Mangoslush Less Sugar","4033,33",5000,967
"Aice Mochi Peach","2312,50",3000,688
"Aice Ria Ria Kacang Hijau Stick",2000,2500,500
"Aice Ria-Ria Kacang Hijau",2000,2500,500
"Aice Sesame Crispy",5100,6500,1400
"Aice Strawberry Crispy",2750,3500,750
"Aice Strawberry Crispy 2",2200,3000,800
"Aice Strawberry Stick",2750,3500,750
"Aice Strawberry Sundae Cup","4041,67",5000,958
"Aice Sweet Corn",2400,3000,600
"Al Ma'soem","1291,67",1792,500
"Al Ma'soem 2","1313,56",2000,686
"Al Ma'soem 3",1250,1750,500
"Al Ma'soem Gelas","395,83",896,500
"Al Ma'soem Kecil",1375,2000,625
"Al Ma'soem Kecil 2","1208,33",1708,500
"Ali Agrem",1500,2000,500
"Ali Agrem 2",2000,2500,500
Arem,2000,2500,500
Bacang,4500,5000,500
Bakwan,2000,2500,500
"Bakwan 2",1500,2000,500
"Bakwan dan Gehu",1500,2000,500
"Bakwan dan Gehu 2",2000,2500,500
