TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
01/07,07:42,QRIS MPM 040100015 9360091532511977332403,0.0,6000.0,11622750.68
01/07,07:48,QRIS MPM 040100015 9360091535666395038403,0.0,10500.0,11633250.68
01/07,07:50,QRIS MPM 040100015 9360091535876313434403,0.0,16000.0,11649250.68
01/07,07:50,QRIS MPM 040100015 9360000812187845438403,0.0,9500.0,11658750.68
01/07,07:52,QRIS MPM 040100015 9360001410067430932403,0.0,21500.0,11680250.68
01/07,07:53,QRIS MPM 040100015 9360001410156869830403,0.0,7500.0,11687750.68
01/07,07:54,QRIS MPM 040100015 9360091539650311938403,0.0,13500.0,11701250.68
01/07,07:57,QRIS MPM 040100015 9360091533603589631403,0.0,23000.0,11724250.68
01/07,07:58,QRIS MPM 040100015 9360053514499058137403,0.0,8000.0,11732250.68
01/07,07:59,QRIS MPM 040100015 9360053514807552039403,0.0,16000.0,11748250.68
01/07,08:11,QRIS MPM 040100015 9360001410136404036403,0.0,13500.0,11761750.68
01/07,08:14,QRIS MPM 040100015 9360053514284084735403,0.0,10500.0,11772250.68
01/07,08:15,QRIS MPM 040100015 9360053513213884435403,0.0,12500.0,11784750.68
01/07,08:17,QRIS MPM 040100015 9360000210081951639403,0.0,11500.0,11796250.68
01/07,08:17,QRIS MPM 040100015 9360000912000438431403,0.0,8000.0,11804250.68
01/07,08:20,QRIS MPM 040100015 9360091533352797932403,0.0,16000.0,11820250.68
01/07,08:29,QRIS MPM 040100015 9360000210088371939403,0.0,5000.0,11825250.68
01/07,08:30,QRIS MPM 040100015 9360001410187365232403,0.0,10000.0,11835250.68
01/07,08:31,QRIS MPM 040100015 9360053515390209132403,0.0,8000.0,11843250.68
01/07,08:37,QRIS MPM 040100015 9360000812216459735403,0.0,9000.0,11852250.68
01/07,08:37,QRIS MPM 040100015 9360000210083882530403,0.0,16000.0,11868250.68
01/07,08:38,QRIS MPM 040100015 9360053516902928930403,0.0,13000.0,11881250.68
01/07,08:38,QRIS MPM 040100015 9360000210071162437403,0.0,23000.0,11904250.68
01/07,08:46,QRIS MPM 040100015 9360000210056742332403,0.0,7000.0,11911250.68
01/07,08:53,QRIS MPM 040100015 9360091534931175734403,0.0,28500.0,11939750.68
01/07,09:00,QRIS MPM 040100015 9360000210092422838403,0.0,13500.0,11953250.68
01/07,09:03,QRIS MPM 040100015 9360001410203815436403,0.0,14000.0,11967250.68
01/07,09:03,QRIS MPM 040100015 9360091530233732931403,0.0,25000.0,11992250.68
01/07,09:04,QRIS MPM 040100015 9360053518325726832403,0.0,13000.0,12005250.68
01/07,09:08,QRIS MPM 040100015 9360091532406869138403,0.0,22000.0,12027250.68
01/07,09:09,QRIS MPM 040100015 9360091531302126034403,0.0,26500.0,12053750.68
01/07,09:09,QRIS MPM 040100015 9360091289697608633403,0.0,8500.0,12062250.68
01/07,09:11,QRIS MPM 040100015 9360001410161079632403,0.0,10000.0,12072250.68
01/07,09:11,QRIS MPM 040100015 9360001410189233131403,0.0,20000.0,12092250.68
01/07,09:11,QRIS MPM 040100015 9360091534191723238403,0.0,30000.0,12122250.68
01/07,09:12,QRIS MPM 040100015 9360091430109292234403,0.0,40000.0,12162250.68
01/07,09:12,QRIS MPM 040100015 9360001410189233131403,0.0,13000.0,12175250.68
01/07,09:14,QRIS MPM 040100015 9360056210028517230403,0.0,20500.0,12195750.68
01/07,09:16,QRIS MPM 040100015 9360091531574788532403,0.0,13000.0,12208750.68
01/07,09:17,QRIS MPM 040100015 9360053513745278339403,0.0,5000.0,12213750.68
01/07,09:20,QRIS MPM 040100015 9360000812207440139403,0.0,23000.0,12236750.68
01/07,09:22,QRIS MPM 040100015 9360053515322309030403,0.0,16000.0,12252750.68
01/07,09:26,QRIS MPM 040100015 9360091830348658737403,0.0,7000.0,12259750.68
01/07,09:27,QRIS MPM 040100015 9360091531910174237403,0.0,7500.0,12267250.68
01/07,09:28,QRIS MPM 040100015 9360001410064642532403,0.0,8000.0,12275250.68
01/07,09:28,QRIS MPM 040100015 9360054210360304433403,0.0,19000.0,12294250.68
01/07,09:29,QRIS MPM 040100015 9360053516932576030403,0.0,29000.0,12323250.68
01/07,09:29,QRIS MPM 040100015 9360001410220917434403,0.0,10000.0,12333250.68
01/07,09:30,QRIS MPM 040100015 9360000812295874637403,0.0,9500.0,12342750.68
01/07,09:30,QRIS MPM 040100015 9360091531518425630403,0.0,14500.0,12357250.68
01/07,09:31,QRIS MPM 040100015 9360000812220995131403,0.0,16000.0,12373250.68
01/07,09:31,QRIS MPM 040100015 9360091830316767637403,0.0,14000.0,12387250.68
01/07,09:33,QRIS MPM 040100015 9360091831082619434403,0.0,12000.0,12399250.68
01/07,09:33,QRIS MPM 040100015 9360000911000421639403,0.0,3500.0,12402750.68
01/07,09:33,QRIS MPM 040100015 9360053514180977430403,0.0,12000.0,12414750.68
01/07,09:34,QRIS MPM 040100015 9360091537550090234403,0.0,8000.0,12422750.68
01/07,09:35,QRIS MPM 040100015 9360000812211703330403,0.0,9500.0,12432250.68
01/07,09:36,QRIS MPM 040100015 9360000812223411033403,0.0,11500.0,12443750.68
01/07,09:36,QRIS MPM 040100015 9360091534157631037403,0.0,20000.0,12463750.68
01/07,09:37,QRIS MPM 040100015 9360091534581689732403,0.0,9500.0,12473250.68
01/07,09:43,QRIS MPM 040100015 9360091531888336639403,0.0,5000.0,12478250.68
01/07,09:46,QRIS MPM 040100015 9360001410135175132403,0.0,6500.0,12484750.68
01/07,09:47,QRIS MPM 040100015 9360053511429913639403,0.0,6000.0,12490750.68
01/07,09:48,QRIS MPM 040100015 9360000210070846636403,0.0,12000.0,12502750.68
01/07,09:52,QRIS MPM 040100015 9360014710101217538403,0.0,23000.0,12525750.68
01/07,09:54,QRIS MPM 040100015 9360053517996599434403,0.0,5500.0,12531250.68
01/07,09:55,QRIS MPM 040100015 9360000812208509434403,0.0,14500.0,12545750.68
01/07,09:55,QRIS MPM 040100015 9360091534277669330403,0.0,8500.0,12554250.68
01/07,09:56,QRIS MPM 040100015 9360000812189347730403,0.0,40000.0,12594250.68
01/07,09:57,QRIS MPM 040100015 9360001410150619331403,0.0,10000.0,12604250.68
01/07,10:09,QRIS MPM 040100015 9360014710800167731403,0.0,30000.0,12634250.68
01/07,10:20,QRIS MPM 040100015 9360053511275730931403,0.0,13000.0,12647250.68
01/07,10:20,QRIS MPM 040100015 9360001410067859538403,0.0,14000.0,12661250.68
01/07,10:20,QRIS MPM 040100015 9360053512033150939403,0.0,16000.0,12677250.68
