TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
02/06,07:15,QRIS MPM 040100015 9360000210091653830403,0.0,14000.0,6978859.28
02/06,07:16,QRIS MPM 040100015 9360091533100624937403,0.0,13000.0,6991859.28
02/06,07:16,QRIS MPM 040100015 9360091430274976234403,0.0,5000.0,6996859.28
02/06,07:18,QRIS MPM 040100015 9360001410067656038403,0.0,11000.0,7007859.28
02/06,07:28,QRIS MPM 040100015 9360001410185922531403,0.0,5000.0,7012859.28
02/06,07:29,QRIS MPM 040100015 9360091830154682734403,0.0,10000.0,7022859.28
02/06,07:30,QRIS MPM 040100015 9360091532040956333403,0.0,6000.0,7028859.28
02/06,07:32,QRIS MPM 040100015 9360091532040956333403,0.0,5000.0,7033859.28
02/06,07:36,QRIS MPM 040100015 9360053510549339230403,0.0,8000.0,7041859.28
02/06,07:36,QRIS MPM 040100015 9360091534714185432403,0.0,5000.0,7046859.28
02/06,07:38,QRIS MPM 040100015 9360048416261042237403,0.0,6500.0,7053359.28
02/06,07:40,QRIS MPM 040100015 9360001410207025236403,0.0,9500.0,7062859.28
02/06,07:40,QRIS MPM 040100015 9360000812265141531403,0.0,7000.0,7069859.28
02/06,07:41,QRIS MPM 040100015 9360001410220917434403,0.0,13500.0,7083359.28
02/06,07:44,QRIS MPM 040100015 9360053519049704430403,0.0,8500.0,7091859.28
02/06,07:44,QRIS MPM 040100015 9360000910000355831403,0.0,24500.0,7116359.28
02/06,07:51,QRIS MPM 040100015 9360014710101262338403,0.0,13000.0,7129359.28
02/06,08:08,QRIS MPM 040100015 9360091538059406031403,0.0,3000.0,7132359.28
02/06,08:25,QRIS MPM 040100015 9360000210091921631403,0.0,9000.0,7141359.28
02/06,08:25,QRIS MPM 040100015 9360091830024431539403,0.0,7000.0,7148359.28
02/06,08:26,QRIS MPM 040100015 9360091281563804830403,0.0,20000.0,7168359.28
02/06,08:31,QRIS MPM 040100015 9360014710800140736403,0.0,3000.0,7171359.28
02/06,08:31,QRIS MPM 040100015 9360014710800140736403,0.0,3000.0,7174359.28
02/06,08:31,QRIS MPM 040100015 9360000210064647530403,0.0,19000.0,7193359.28
02/06,08:37,QRIS MPM 040100015 9360091533133501331403,0.0,10000.0,7203359.28
02/06,08:38,QRIS MPM 040100015 9360053511047162435403,0.0,11500.0,7214859.28
02/06,08:43,QRIS MPM 040100015 9360001410017873932403,0.0,7000.0,7221859.28
02/06,08:53,QRIS MPM 040100015 9360001410170272137403,0.0,15500.0,7237359.28
02/06,08:54,QRIS MPM 040100015 9360001410147714239403,0.0,11000.0,7248359.28
02/06,08:56,QRIS MPM 040100015 9360001410144686033403,0.0,11000.0,7259359.28
02/06,08:56,QRIS MPM 040100015 9360091830106176935403,0.0,6000.0,7265359.28
02/06,08:56,QRIS MPM 040100015 9360000210068963239403,0.0,17000.0,7282359.28
02/06,08:58,QRIS MPM 040100015 9360091532365653835403,0.0,8500.0,7290859.28
02/06,08:58,QRIS MPM 040100015 9360050110014256937403,0.0,21000.0,7311859.28
02/06,08:59,QRIS MPM 040100015 9360001410095179338403,0.0,3000.0,7314859.28
02/06,09:00,QRIS MPM 040100015 9360091530280602739403,0.0,20500.0,7335359.28
02/06,09:01,QRIS MPM 040100015 9360054210152273433403,0.0,13000.0,7348359.28
02/06,09:02,QRIS MPM 040100015 9360001410156776833403,0.0,18000.0,7366359.28
02/06,09:09,QRIS MPM 040100015 9360014710101364836403,0.0,19000.0,7385359.28
02/06,09:11,QRIS MPM 040100015 9360000812295874637403,0.0,9000.0,7394359.28
02/06,09:11,QRIS MPM 040100015 9360014710101214239403,0.0,23000.0,7417359.28
02/06,09:21,QRIS MPM 040100015 9360091530342793737403,0.0,9000.0,7426359.28
02/06,09:22,QRIS MPM 040100015 9360091830096145639403,0.0,11500.0,7437859.28
02/06,09:27,QRIS MPM 040100015 9360091530195506336403,0.0,5000.0,7442859.28
02/06,09:30,QRIS MPM 040100015 9360047210389511238403,0.0,13000.0,7455859.28
02/06,09:31,QRIS MPM 040100015 9360047210389511238403,0.0,11500.0,7467359.28
02/06,09:32,QRIS MPM 040100015 9360001410170783334403,0.0,3000.0,7470359.28
02/06,09:34,QRIS MPM 040100015 9360091530828934434403,0.0,13000.0,7483359.28
02/06,09:36,QRIS MPM 040100015 9360001410016252133403,0.0,19000.0,7502359.28
02/06,09:36,QRIS MPM 040100015 9360091830426057437403,0.0,13500.0,7515859.28
02/06,09:41,QRIS MPM 040100015 9360000210051995834403,0.0,41500.0,7557359.28
02/06,09:42,QRIS MPM 040100015 9360045112396267731403,0.0,7500.0,7564859.28
02/06,09:46,QRIS MPM 040100015 9360091830154682734403,0.0,6000.0,7570859.28
02/06,09:47,QRIS MPM 040100015 936009113517169963403,0.0,10000.0,7580859.28
02/06,09:47,QRIS MPM 040100015 9360091533591470232403,0.0,10000.0,7590859.28
02/06,09:48,QRIS MPM 040100015 9360000812149465338403,0.0,41000.0,7631859.28
02/06,09:48,QRIS MPM 040100015 9360000812200062239403,0.0,11500.0,7643359.28
02/06,09:49,QRIS MPM 040100015 9360001410183385038403,0.0,7500.0,7650859.28
02/06,09:50,QRIS MPM 040100015 9360045111487976237403,0.0,22000.0,7672859.28
02/06,09:52,QRIS MPM 040100015 9360091285694755130403,0.0,13500.0,7686359.28
02/06,09:52,QRIS MPM 040100015 9360045112502137931403,0.0,14500.0,7700859.28
02/06,09:53,QRIS MPM 040100015 9360000210077920536403,0.0,6000.0,7706859.28
02/06,09:53,QRIS MPM 040100015 9360091533558527437403,0.0,23000.0,7729859.28
02/06,09:53,QRIS MPM 040100015 9360000210053026838403,0.0,6000.0,7735859.28
02/06,09:59,QRIS MPM 040100015 9360091830931497035403,0.0,12000.0,7747859.28
02/06,10:03,QRIS MPM 040100015 9360001410038930139403,0.0,14000.0,7761859.28
02/06,10:17,QRIS MPM 040100015 9360000210052715035403,0.0,15500.0,7777359.28
02/06,10:18,QRIS MPM 040100015 9360091531948872239403,0.0,23000.0,7800359.28
02/06,10:22,QRIS MPM 040100015 9360091531088713639403,0.0,10500.0,7810859.28
02/06,10:26,QRIS MPM 040100015 9360014710101262338403,0.0,21000.0,7831859.28
02/06,10:28,QRIS MPM 040100015 9360000210089389036403,0.0,11000.0,7842859.28
02/06,10:31,QRIS MPM 040100015 9360000210097076933403,0.0,15000.0,7857859.28
02/06,10:32,QRIS MPM 040100015 9360091531274771530403,0.0,11000.0,7868859.28
02/06,10:35,QRIS MPM 040100015 9360000210091653830403,0.0,12000.0,7880859.28
02/06,10:36,QRIS MPM 040100015 9360000210060975236403,0.0,25500.0,7906359.28
02/06,10:36,QRIS MPM 040100015 9360014710101214135403,0.0,16500.0,7922859.28
02/06,10:37,QRIS MPM 040100015 9360053515711944633403,0.0,14500.0,7937359.28
02/06,10:38,QRIS MPM 040100015 9360053610590035433403,0.0,18000.0,7955359.28
02/06,10:45,QRIS MPM 040100015 9360001410156333238403,0.0,15000.0,7970359.28
02/06,10:45,QRIS MPM 040100015 9360053512611977637403,0.0,20000.0,7990359.28
02/06,10:46,QRIS MPM 040100015 9360000812192451638403,0.0,25500.0,8015859.28
02/06,10:47,QRIS MPM 040100015 9360053516191261635403,0.0,6000.0,8021859.28
02/06,10:49,QRIS MPM 040100015 9360000912000457330403,0.0,26000.0,8047859.28
02/06,10:51,QRIS MPM 040100015 9360001410013896336403,0.0,18000.0,8065859.28
02/06,10:57,QRIS MPM 040100015 9360014710800140736403,0.0,90000.0,8155859.28
02/06,11:00,QRIS MPM 040100015 9360001410147408034403,0.0,5500.0,8161359.28
02/06,11:04,QRIS MPM 040100015 9360001410078022638403,0.0,21000.0,8182359.28
02/06,11:16,QRIS MPM 040100015 9360091531392632639403,0.0,11000.0,8193359.28
02/06,11:17,QRIS MPM 040100015 9360091531028635638403,0.0,9500.0,8202859.28
02/06,11:17,QRIS MPM 040100015 9360091532178232238403,0.0,3000.0,8205859.28
02/06,11:24,QRIS MPM 040100015 9360053513501797531403,0.0,9500.0,8215359.28
02/06,11:24,QRIS MPM 040100015 9360053515993755035403,0.0,6000.0,8221359.28
02/06,11:25,QRIS MPM 040100015 9360091534314568335403,0.0,22500.0,8243859.28
02/06,11:25,QRIS MPM 040100015 9360000210050777837403,0.0,27000.0,8270859.28
02/06,11:32,QRIS MPM 040100015 9360000812195519938403,0.0,4000.0,8274859.28
02/06,11:33,QRIS MPM 040100015 9360050110009188936403,0.0,29500.0,8304359.28
02/06,11:33,QRIS MPM 040100015 9360053510832069933403,0.0,19000.0,8323359.28
02/06,11:34,QRIS MPM 040100015 9360091430349278532403,0.0,18500.0,8341859.28
02/06,11:34,QRIS MPM 040100015 9360000210076721733403,0.0,11000.0,8352859.28
02/06,11:34,QRIS MPM 040100015 9360091830177160836403,0.0,8000.0,8360859.28
02/06,11:38,QRIS MPM 040100015 9360001410102607834403,0.0,10000.0,8370859.28
02/06,11:38,QRIS MPM 040100015 9360000210045396136403,0.0,12000.0,8382859.28
02/06,11:40,QRIS MPM 040100015 9360053517689583237403,0.0,15000.0,8397859.28
02/06,11:44,QRIS MPM 040100015 9360091535282670939403,0.0,9500.0,8407359.28
02/06,11:44,QRIS MPM 040100015 9360014710101285238403,0.0,5000.0,8412359.28
02/06,11:44,QRIS MPM 040100015 9360014710800161232403,0.0,21000.0,8433359.28
02/06,11:45,QRIS MPM 040100015 9360091532415836836403,0.0,4500.0,8437859.28
02/06,11:51,QRIS MPM 040100015 9360053511851631139403,0.0,14000.0,8451859.28
02/06,11:57,QRIS MPM 040100015 9360091537037920431403,0.0,6000.0,8457859.28
02/06,11:59,QRIS MPM 040100015 9360001410044768631403,0.0,4000.0,8461859.28
02/06,12:04,QRIS MPM 040100015 9360000210098307731403,0.0,15000.0,8476859.28
02/06,12:10,QRIS MPM 040100015 9360001410061468434403,0.0,9000.0,8485859.28
02/06,12:11,QRIS MPM 040100015 9360091283167285034403,0.0,26000.0,8511859.28
02/06,12:12,QRIS MPM 040100015 9360000812133638637403,0.0,13000.0,8524859.28
02/06,12:15,QRIS MPM 040100015 9360091830997991630403,0.0,6000.0,8530859.28
02/06,12:17,QRIS MPM 040100015 9360091536875689430403,0.0,13000.0,8543859.28
02/06,12:17,QRIS MPM 040100015 9360001410146555935403,0.0,6500.0,8550359.28
02/06,12:19,QRIS MPM 040100015 9360000812243952634403,0.0,14000.0,8564359.28
