TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
02/05,07:11,QRIS MPM 040100015 9360000210059502933403,0.0,6500.0,9589156.65
02/05,07:19,QRIS MPM 040100015 9360091430302447038403,0.0,3000.0,9592156.65
02/05,07:34,QRIS MPM 040100015 9360001410029684733403,0.0,8000.0,9600156.65
02/05,07:57,QRIS MPM 040100015 9360091830151575133403,0.0,13500.0,9613656.65
02/05,08:04,QRIS MPM 040100015 9360053510101446932403,0.0,9500.0,9623156.65
02/05,08:18,QRIS MPM 040100015 9360091430302447038403,0.0,6000.0,9629156.65
02/05,08:21,QRIS MPM 040100015 9360001410169595339403,0.0,16000.0,9645156.65
02/05,08:24,QRIS MPM 040100015 9360091830441495533403,0.0,6000.0,9651156.65
02/05,08:31,QRIS MPM 040100015 9360014710101249735403,0.0,34000.0,9685156.65
02/05,08:37,QRIS MPM 040100015 9360014710101364836403,0.0,14000.0,9699156.65
02/05,08:41,QRIS MPM 040100015 9360091534981614536403,0.0,25000.0,9724156.65
02/05,08:44,QRIS MPM 040100015 9360053514706938432403,0.0,13000.0,9737156.65
02/05,08:44,QRIS MPM 040100015 9360091430293297035403,0.0,13000.0,9750156.65
02/05,08:45,QRIS MPM 040100015 9360053512687766032403,0.0,19000.0,9769156.65
02/05,08:46,QRIS MPM 040100015 9360091534981614536403,0.0,8000.0,9777156.65
02/05,08:53,QRIS MPM 040100015 9360000210073295033403,0.0,10000.0,9787156.65
02/05,08:58,QRIS MPM 040100015 9360053512294240231403,0.0,3000.0,9790156.65
02/05,09:01,QRIS MPM 040100015 9360001410067656038403,0.0,3000.0,9793156.65
02/05,09:02,QRIS MPM 040100015 9360001410120512935403,0.0,8000.0,9801156.65
02/05,09:02,QRIS MPM 040100015 9360091535566178431403,0.0,5000.0,9806156.65
02/05,09:03,QRIS MPM 040100015 9360014710101211333403,0.0,15000.0,9821156.65
02/05,09:04,QRIS MPM 040100015 9360091830907251338403,0.0,9000.0,9830156.65
02/05,09:06,QRIS MPM 040100015 9360001410087990536403,0.0,6500.0,9836656.65
02/05,09:12,QRIS MPM 040100015 9360091530897860938403,0.0,6000.0,9842656.65
02/05,09:13,QRIS MPM 040100015 9360000812237774237403,0.0,16000.0,9858656.65
02/05,09:22,QRIS MPM 040100015 9360091830873253531403,0.0,11000.0,9869656.65
02/05,09:29,QRIS MPM 040100015 9360000210070030630403,0.0,15500.0,9885156.65
02/05,09:31,QRIS MPM 040100015 9360091532050478436403,0.0,8500.0,9893656.65
02/05,09:32,QRIS MPM 040100015 9360053517535715039403,0.0,24000.0,9917656.65
02/05,09:44,QRIS MPM 040100015 9360091530579889035403,0.0,3500.0,9921156.65
02/05,09:48,QRIS MPM 040100015 9360000210091920530403,0.0,9500.0,9930656.65
02/05,10:00,QRIS MPM 040100015 9360000210095174032403,0.0,6000.0,9936656.65
02/05,10:00,QRIS MPM 040100015 9360014710101247038403,0.0,12000.0,9948656.65
02/05,10:00,QRIS MPM 040100015 9360014710101247038403,0.0,12000.0,9960656.65
02/05,10:12,QRIS MPM 040100015 9360014710800166234403,0.0,9000.0,9969656.65
02/05,10:18,QRIS MPM 040100015 9360053515781938337403,0.0,3000.0,9972656.65
02/05,10:21,QRIS MPM 040100015 9360091537855534437403,0.0,10000.0,9982656.65
02/05,10:26,QRIS MPM 040100015 9360000210083712530403,0.0,9500.0,9992156.65
02/05,10:34,QRIS MPM 040100015 9360091530998672530403,0.0,3000.0,9995156.65
02/05,10:34,QRIS MPM 040100015 9360000210088519637403,0.0,13000.0,10008156.65
02/05,10:35,QRIS MPM 040100015 9360001410114006439403,0.0,24500.0,10032656.65
02/05,10:41,QRIS MPM 040100015 9360091534272300531403,0.0,5000.0,10037656.65
02/05,10:42,QRIS MPM 040100015 9360001410090414233403,0.0,6500.0,10044156.65
02/05,10:47,QRIS MPM 040100015 9360001410059512533403,0.0,4000.0,10048156.65
02/05,10:48,QRIS MPM 040100015 9360000210092658631403,0.0,14500.0,10062656.65
02/05,11:16,QRIS MPM 040100015 9360091830530269935403,0.0,10500.0,10073156.65
02/05,11:22,QRIS MPM 040100015 9360001410024554533403,0.0,15500.0,10088656.65
02/05,11:25,QRIS MPM 040100015 9360000210074429931403,0.0,11000.0,10099656.65
02/05,11:25,QRIS MPM 040100015 9360091830023127236403,0.0,6500.0,10106156.65
02/05,11:27,QRIS MPM 040100015 9360091831266474138403,0.0,4000.0,10110156.65
02/05,11:29,QRIS MPM 040100015 9360091830229663934403,0.0,3500.0,10113656.65
02/05,11:38,QRIS MPM 040100015 9360091538339715930403,0.0,16500.0,10130156.65
02/05,11:40,QRIS MPM 040100015 9360091536875689430403,0.0,15000.0,10145156.65
02/05,11:46,QRIS MPM 040100015 9360000210090204036403,0.0,8000.0,10153156.65
02/05,11:46,QRIS MPM 040100015 9360053518132138632403,0.0,8000.0,10161156.65
02/05,11:48,QRIS MPM 040100015 9360001410148716637403,0.0,7000.0,10168156.65
02/05,11:49,QRIS MPM 040100015 9360091430323582930403,0.0,5500.0,10173656.65
02/05,11:51,QRIS MPM 040100015 9360000210064933132403,0.0,30000.0,10203656.65
02/05,11:51,QRIS MPM 040100015 9360091430272766130403,0.0,3500.0,10207156.65
02/05,11:52,QRIS MPM 040100015 9360001410122139439403,0.0,15000.0,10222156.65
02/05,11:58,QRIS MPM 040100015 9360091533551811536403,0.0,6500.0,10228656.65
02/05,11:59,QRIS MPM 040100015 9360001410171738635403,0.0,18000.0,10246656.65
02/05,11:59,QRIS MPM 040100015 9360000210092224430403,0.0,6000.0,10252656.65
02/05,12:02,QRIS MPM 040100015 9360000812265317931403,0.0,22000.0,10274656.65
02/05,12:08,QRIS MPM 040100015 9360053510299507134403,0.0,8000.0,10282656.65
02/05,12:10,QRIS MPM 040100015 9360014710101214135403,0.0,12000.0,10294656.65
02/05,12:12,QRIS MPM 040100015 9360000812262798730403,0.0,13000.0,10307656.65
02/05,12:26,QRIS MPM 040100015 9360000210048306932403,0.0,18500.0,10326156.65
02/05,12:44,QRIS MPM 040100015 9360091530723302737403,0.0,28000.0,10354156.65
02/05,12:52,QRIS MPM 040100015 9360014710101262338403,0.0,8000.0,10362156.65
02/05,12:53,QRIS MPM 040100015 9360001410136389932403,0.0,6000.0,10368156.65
02/05,12:54,QRIS MPM 040100015 9360053512354583237403,0.0,5500.0,10373656.65
02/05,12:55,QRIS MPM 040100015 9360091530233732931403,0.0,16500.0,10390156.65
02/05,12:55,QRIS MPM 040100015 9360000812213813733403,0.0,12000.0,10402156.65
02/05,12:57,QRIS MPM 040100015 9360045112423502231403,0.0,6000.0,10408156.65
02/05,12:58,QRIS MPM 040100015 9360001410030404433403,0.0,7000.0,10415156.65
02/05,12:59,QRIS MPM 040100015 9360091533973777435403,0.0,9000.0,10424156.65
02/05,12:59,QRIS MPM 040100015 9360000210059181239403,0.0,17000.0,10441156.65
02/05,13:04,QRIS MPM 040100015 9360053519091935936403,0.0,6000.0,10447156.65
02/05,13:10,QRIS MPM 040100015 9360091539772771733403,0.0,9500.0,10456656.65
02/05,13:15,QRIS MPM 040100015 9360091536249831435403,0.0,20000.0,10476656.65
02/05,13:15,QRIS MPM 040100015 9360091531901202839403,0.0,15000.0,10491656.65
02/05,13:33,QRIS MPM 040100015 9360091531549102132403,0.0,3000.0,10494656.65
02/05,13:34,QRIS MPM 040100015 9360000911000518835403,0.0,5000.0,10499656.65
02/05,13:43,QRIS MPM 040100015 9360091830189603036403,0.0,9000.0,10508656.65
02/05,13:44,QRIS MPM 040100015 9360091830708179932403,0.0,9000.0,10517656.65
02/05,14:09,QRIS MPM 040100015 9360053510101446932403,0.0,6000.0,10523656.65
02/05,14:27,QRIS MPM 040100015 9360053510107843532403,0.0,16500.0,10540156.65
02/05,14:28,QRIS MPM 040100015 9360091532246899737403,0.0,9000.0,10549156.65
02/05,14:32,QRIS MPM 040100015 9360053511802159937403,0.0,7000.0,10556156.65
02/05,14:35,QRIS MPM 040100015 9360001410169595339403,0.0,10000.0,10566156.65
02/05,14:35,QRIS MPM 040100015 9360091430164089638403,0.0,3000.0,10569156.65
02/05,14:38,QRIS MPM 040100015 9360091830356292333403,0.0,14000.0,10583156.65
02/05,14:44,QRIS MPM 040100015 9360091539773548237403,0.0,5000.0,10588156.65
02/05,14:47,QRIS MPM 040100015 9360001410159166437403,0.0,3000.0,10591156.65
02/05,14:48,QRIS MPM 040100015 9360045112040785437403,0.0,7000.0,10598156.65
02/05,14:53,QRIS MPM 040100015 9360053516626994236403,0.0,8000.0,10606156.65
02/05,14:57,QRIS MPM 040100015 9360091830351948037403,0.0,12000.0,10618156.65
02/05,15:04,QRIS MPM 040100015 9360000812195519938403,0.0,10000.0,10628156.65
02/05,15:09,QRIS MPM 040100015 9360000812174103434403,0.0,18000.0,10646156.65
02/05,15:09,QRIS MPM 040100015 9360000913001299131403,0.0,17500.0,10663656.65
02/05,15:17,QRIS MPM 040100015 9360001410083498838403,0.0,20000.0,10683656.65
02/05,15:23,QRIS MPM 040100015 9360000210079514639403,0.0,8000.0,10691656.65
02/05,15:24,QRIS MPM 040100015 9360045111621992238403,0.0,12000.0,10703656.65
02/05,15:26,QRIS MPM 040100015 9360001410013520831403,0.0,11000.0,10714656.65
02/05,15:28,QRIS MPM 040100015 9360000812222461935403,0.0,8000.0,10722656.65
02/05,15:32,QRIS MPM 040100015 9360053515485977231403,0.0,3000.0,10725656.65
02/05,15:33,QRIS MPM 040100015 9360091430303590230403,0.0,12000.0,10737656.65
02/05,15:33,QRIS MPM 040100015 9360091430272056536403,0.0,9000.0,10746656.65
02/05,15:36,QRIS MPM 040100015 9360001410190583131403,0.0,9000.0,10755656.65
02/05,15:57,QRIS MPM 040100015 9360091533995007135403,0.0,3000.0,10758656.65
02/05,15:58,QRIS MPM 040100015 9360053514153987930403,0.0,18000.0,10776656.65
02/05,16:01,QRIS MPM 040100015 9360054250424348035403,0.0,4000.0,10780656.65
02/05,16:08,QRIS MPM 040100015 9360091534223519033403,0.0,3000.0,10783656.65
02/05,17:43,QRIS MPM 040100015 9360000210092767130403,0.0,18000.0,10801656.65
03/05,07:34,QRIS MPM 040100015 9360091538045705736403,0.0,3000.0,10804656.65
03/05,07:38,QRIS MPM 040100015 9360091533770023438403,0.0,12000.0,10816656.65
03/05,07:38,QRIS MPM 040100015 9360014710101285238403,0.0,17000.0,10833656.65
03/05,07:39,QRIS MPM 040100015 9360091535542330933403,0.0,3000.0,10836656.65
03/05,07:40,QRIS MPM 040100015 9360000210074977832403,0.0,15000.0,10851656.65
03/05,07:42,QRIS MPM 040100015 9360091532178899134403,0.0,1000.0,10852656.65
03/05,07:49,QRIS MPM 040100015 9360001410170742833403,0.0,15500.0,10868156.65
03/05,07:52,QRIS MPM 040100015 9360091830064189630403,0.0,9000.0,10877156.65
03/05,08:02,QRIS MPM 040100015 9360091534157631037403,0.0,9000.0,10886156.65
03/05,08:06,QRIS MPM 040100015 9360091533335276138403,0.0,6000.0,10892156.65
03/05,08:13,QRIS MPM 040100015 9360091533100624937403,0.0,15000.0,10907156.65
03/05,08:41,QRIS MPM 040100015 9360001410171738635403,0.0,17500.0,10924656.65
03/05,08:57,QRIS MPM 040100015 9360000210091716632403,0.0,3500.0,10928156.65
03/05,08:59,QRIS MPM 040100015 9360000912000018233403,0.0,7000.0,10935156.65
03/05,08:59,QRIS MPM 040100015 9360001410104413731403,0.0,13500.0,10948656.65
03/05,09:00,QRIS MPM 040100015 9360000812219151432403,0.0,7000.0,10955656.65
03/05,09:00,QRIS MPM 040100015 9360001410042709538403,0.0,3000.0,10958656.65
03/05,09:01,QRIS MPM 040100015 9360000210073343738403,0.0,13000.0,10971656.65
03/05,09:05,QRIS MPM 040100015 9360000210056596136403,0.0,15500.0,10987156.65
03/05,09:07,QRIS MPM 040100015 9360001410032407439403,0.0,9000.0,10996156.65
03/05,09:13,QRIS MPM 040100015 9360053517128235233403,0.0,7500.0,11003656.65
03/05,09:22,QRIS MPM 040100015 9360014710101210238403,0.0,7000.0,11010656.65
03/05,09:23,QRIS MPM 040100015 9360091830873253531403,0.0,5000.0,11015656.65
03/05,09:24,QRIS MPM 040100015 9360053514761762036403,0.0,4500.0,11020156.65
03/05,09:24,QRIS MPM 040100015 9360000812121757931403,0.0,12000.0,11032156.65
03/05,09:41,QRIS MPM 040100015 9360091536146081733403,0.0,6000.0,11038156.65
03/05,09:42,QRIS MPM 040100015 9360000210097021039403,0.0,21000.0,11059156.65
03/05,09:44,QRIS MPM 040100015 9360045112020926635403,0.0,21000.0,11080156.65
03/05,09:46,QRIS MPM 040100015 9360000812221252833403,0.0,13000.0,11093156.65
03/05,09:47,QRIS MPM 040100015 9360091430297757333403,0.0,2500.0,11095656.65
03/05,09:51,QRIS MPM 040100015 9360001410057876939403,0.0,11000.0,11106656.65
03/05,09:53,QRIS MPM 040100015 9360091535728386236403,0.0,6000.0,11112656.65
03/05,09:53,QRIS MPM 040100015 9360001410032407439403,0.0,5000.0,11117656.65
03/05,09:54,QRIS MPM 040100015 9360091538509337335403,0.0,6000.0,11123656.65
03/05,10:03,QRIS MPM 040100015 9360001410171799133403,0.0,40500.0,11164156.65
