TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
01/11,08:00,QRIS MPM 040100015 9360091536029279437403,0.0,6000.0,7875572.64
01/11,08:05,QRIS MPM 040100015 9360000210077769733403,0.0,6000.0,7881572.64
01/11,08:12,QRIS MPM 040100015 9360001410106496332403,0.0,10000.0,7891572.64
01/11,08:13,QRIS MPM 040100015 9360000210055755339403,0.0,14500.0,7906072.64
01/11,08:41,QRIS MPM 040100015 9360011010003272935403,0.0,13000.0,7919072.64
01/11,08:46,QRIS MPM 040100015 9360091532382937939403,0.0,9500.0,7928572.64
01/11,08:49,QRIS MPM 040100015 9360001410110434130403,0.0,6000.0,7934572.64
01/11,08:49,QRIS MPM 040100015 9360053515254876330403,0.0,13500.0,7948072.64
01/11,08:50,QRIS MPM 040100015 9360001410132242133403,0.0,21000.0,7969072.64
01/11,08:50,QRIS MPM 040100015 9360000210094129838403,0.0,9500.0,7978572.64
01/11,08:57,QRIS MPM 040100015 9360091537518250937403,0.0,16000.0,7994572.64
01/11,09:00,QRIS MPM 040100015 9360014710101364836403,0.0,11000.0,8005572.64
01/11,09:01,QRIS MPM 040100015 9360001410190575031403,0.0,12000.0,8017572.64
01/11,09:01,QRIS MPM 040100015 9360053516829058930403,0.0,10500.0,8028072.64
01/11,09:01,QRIS MPM 040100015 9360091533787613537403,0.0,10000.0,8038072.64
01/11,09:11,QRIS MPM 040100015 9360001410128948632403,0.0,63000.0,8101072.64
01/11,09:20,QRIS MPM 040100015 9360091830651349237403,0.0,3000.0,8104072.64
01/11,09:39,QRIS MPM 040100015 9360053518769809639403,0.0,14500.0,8118572.64
01/11,09:49,QRIS MPM 040100015 9360001410110299238403,0.0,10000.0,8128572.64
01/11,09:49,QRIS MPM 040100015 9360000210071943738403,0.0,10000.0,8138572.64
01/11,09:52,QRIS MPM 040100015 9360001410004809035403,0.0,6000.0,8144572.64
01/11,10:07,QRIS MPM 040100015 9360091532112326833403,0.0,9000.0,8153572.64
01/11,10:08,QRIS MPM 040100015 9360000210092609630403,0.0,15000.0,8168572.64
01/11,10:08,QRIS MPM 040100015 9360000210091793232403,0.0,15000.0,8183572.64
01/11,10:10,QRIS MPM 040100015 9360091430325867037403,0.0,19000.0,8202572.64
01/11,10:11,QRIS MPM 040100015 9360053519067207831403,0.0,12500.0,8215072.64
01/11,10:31,QRIS MPM 040100015 9360053510566430232403,0.0,9500.0,8224572.64
01/11,10:40,QRIS MPM 040100015 9360091531801075637403,0.0,21000.0,8245572.64
01/11,11:13,QRIS MPM 040100015 9360091830291520833403,0.0,3500.0,8249072.64
01/11,11:14,QRIS MPM 040100015 9360091536029279437403,0.0,5000.0,8254072.64
01/11,11:22,QRIS MPM 040100015 9360053519808394838403,0.0,3500.0,8257572.64
01/11,11:23,QRIS MPM 040100015 9360000210088517936403,0.0,5000.0,8262572.64
01/11,12:06,QRIS MPM 040100015 9360053513716514732403,0.0,12000.0,8274572.64
01/11,12:08,QRIS MPM 040100015 9360000210084956433403,0.0,8000.0,8282572.64
01/11,12:22,QRIS MPM 040100015 9360000210079931838403,0.0,11000.0,8293572.64
01/11,12:26,QRIS MPM 040100015 9360001410101854535403,0.0,7000.0,8300572.64
01/11,12:28,QRIS MPM 040100015 9360001410101854535403,0.0,7000.0,8307572.64
01/11,12:54,QRIS MPM 040100015 9360001410045583833403,0.0,22500.0,8330072.64
01/11,12:55,QRIS MPM 040100015 9360091430228964738403,0.0,6000.0,8336072.64
01/11,13:18,QRIS MPM 040100015 9360000812228777237403,0.0,7500.0,8343572.64
01/11,13:28,QRIS MPM 040100015 9360000210063433338403,0.0,100000.0,8443572.64
01/11,13:32,QRIS MPM 040100015 9360091533962279839403,0.0,3000.0,8446572.64
01/11,13:33,QRIS MPM 040100015 9360091531849563232403,0.0,13000.0,8459572.64
01/11,13:43,QRIS MPM 040100015 9360001410128457232403,0.0,4000.0,8463572.64
01/11,13:50,QRIS MPM 040100015 9360091830243669231403,0.0,10000.0,8473572.64
