TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
04/09,13:04,QRIS MPM 040100015 9360091534760718931403,0.0,15000.0,11555157.67
05/09,22:54,QRIS MPM 040100015 9360053610590034630403,0.0,9000.0,11564157.67
06/09,09:22,QRIS MPM 040100015 9360091531866299432403,0.0,10000.0,11574157.67
07/09,07:54,QRIS MPM 040100015 9360001410120415939403,0.0,3000.0,11577157.67
07/09,08:46,QRIS MPM 040100015 9360091430239891934403,0.0,3000.0,11580157.67
07/09,09:39,QRIS MPM 040100015 9360001410052286136403,0.0,25000.0,11605157.67
07/09,10:08,QRIS MPM 040100015 9360091536029279437403,0.0,3000.0,11608157.67
07/09,10:26,QRIS MPM 040100015 9360000812270591838403,0.0,3000.0,11611157.67
07/09,10:39,QRIS MPM 040100015 9360001410096541836403,0.0,12000.0,11623157.67
07/09,12:34,QRIS MPM 040100015 9360091535403145232403,0.0,18000.0,11641157.67
07/09,12:58,QRIS MPM 040100015 9360000210098665738403,0.0,6000.0,11647157.67
07/09,13:50,QRIS MPM 040100015 9360014710101244935403,0.0,20000.0,11667157.67
08/09,09:28,QRIS MPM 040100015 9360091285334296738403,0.0,9000.0,11676157.67
08/09,09:45,TRF DR RISMA SAEDAH BANK PERMA3T460,0.0,1596114.0,13272271.67
08/09,10:16,QRIS MPM 040100015 9360001410122868937403,0.0,6000.0,13278271.67
08/09,11:18,QRIS MPM 040100015 9360091533625383731403,0.0,6000.0,13284271.67
08/09,11:57,QRIS MPM 040100015 9360014710101244935403,0.0,50000.0,13334271.67
08/09,12:18,QRIS MPM 040100015 9360091536029279437403,0.0,7000.0,13341271.67
08/09,13:34,QRIS MPM 040100015 9360091531714725734403,0.0,10000.0,13351271.67
08/09,13:53,QRIS MPM 040100015 9360091530059030632403,0.0,17000.0,13368271.67
09/09,08:00,QRIS MPM 040100015 9360001410122868937403,0.0,3000.0,13371271.67
09/09,08:03,QRIS MPM 040100015 9360000210097975036403,0.0,6000.0,13377271.67
09/09,08:07,QRIS MPM 040100015 9360091536029279437403,0.0,4000.0,13381271.67
09/09,08:53,QRIS MPM 040100015 9360053518366678532403,0.0,15000.0,13396271.67
09/09,09:23,QRIS MPM 040100015 9360053512878228833403,0.0,8000.0,13404271.67
09/09,09:45,QRIS MPM 040100015 9360091537363333530403,0.0,3000.0,13407271.67
09/09,09:45,QRIS MPM 040100015 9360091532034233639403,0.0,7000.0,13414271.67
09/09,09:48,QRIS MPM 040100015 9360091830707238231403,0.0,3000.0,13417271.67
09/09,10:28,QRIS MPM 040100015 9360053514335593336403,0.0,30000.0,13447271.67
09/09,10:45,QRIS MPM 040100015 9360053514335593336403,0.0,16000.0,13463271.67
09/09,10:47,QRIS MPM 040100015 9360053517128235233403,0.0,3000.0,13466271.67
09/09,10:50,QRIS MPM 040100015 9360091534760718931403,0.0,7000.0,13473271.67
09/09,11:48,QRIS MPM 040100015 9360001410021925634403,0.0,8000.0,13481271.67
09/09,12:04,QRIS MPM 040100015 9360091539650311938403,0.0,5500.0,13486771.67
09/09,13:57,QRIS MPM 040100015 9360091533366429634403,0.0,4000.0,13490771.67
09/09,14:08,PENARIKAN TUNAI TABUNGAN 4102,11450000.0,0.0,2040771.67
09/09,14:11,QRIS MPM 040100015 9360054250886919130403,0.0,6000.0,2046771.67
09/09,20:22,QRIS MPM 040100015 9360053610590034630403,0.0,10000.0,2056771.67
10/09,09:10,QRIS MPM 040100015 9360000210102448630403,0.0,5500.0,2062271.67
10/09,10:23,QRIS MPM 040100015 9360091533366429634403,0.0,8000.0,2070271.67
10/09,11:16,QRIS MPM 040100015 9360091533551811536403,0.0,3000.0,2073271.67
10/09,12:46,QRIS MPM 040100015 9360000210102448630403,0.0,6000.0,2079271.67
10/09,15:56,QRIS MPM 040100015 9360001410021925634403,0.0,5000.0,2084271.67
10/09,17:07,QRIS OVB 040100015 9360052177040045932403,0.0,1000.0,2085271.67
11/09,07:58,QRIS MPM 040100015 9360091536029279437403,0.0,4000.0,2089271.67
11/09,09:01,QRIS MPM 040100015 9360091430109891338403,0.0,12000.0,2101271.67
11/09,09:04,QRIS MPM 040100015 9360053515604029630403,0.0,6000.0,2107271.67
11/09,09:57,QRIS MPM 040100015 9360000210057695238403,0.0,13000.0,2120271.67
11/09,09:57,QRIS MPM 040100015 9360001410023395632403,0.0,2500.0,2122771.67
11/09,11:56,QRIS MPM 040100015 9360091831037153139403,0.0,6000.0,2128771.67
11/09,12:11,QRIS MPM 040100015 9360014710101244935403,0.0,50000.0,2178771.67
11/09,12:59,QRIS MPM 040100015 9360054250886919130403,0.0,8000.0,2186771.67
11/09,13:23,QRIS MPM 040100015 9360091536029279437403,0.0,4000.0,2190771.67
11/09,13:53,QRIS MPM 040100015 9360000210070901139403,0.0,20000.0,2210771.67
11/09,14:36,QRIS MPM 040100015 9360000210073900038403,0.0,27000.0,2237771.67
11/09,20:14,QRIS MPM 040100015 9360053610590034630403,0.0,17000.0,2254771.67
12/09,08:51,QRIS MPM 040100015 9360014710101212436403,0.0,13000.0,2267771.67
12/09,09:36,QRIS MPM 040100015 9360091430166370339403,0.0,4000.0,2271771.67
12/09,09:39,QRIS MPM 040100015 9360001410038930139403,0.0,12000.0,2283771.67
12/09,09:52,QRIS MPM 040100015 9360000210097975036403,0.0,3000.0,2286771.67
12/09,10:41,QRIS MPM 040100015 9360000210102448630403,0.0,3000.0,2289771.67
12/09,10:51,QRIS MPM 040100015 9360000912000610636403,0.0,10000.0,2299771.67
12/09,10:54,QRIS MPM 040100015 9360091430281488530403,0.0,3000.0,2302771.67
12/09,10:56,QRIS MPM 040100015 9360001410021925634403,0.0,15000.0,2317771.67
12/09,11:03,QRIS MPM 040100015 9360000210083515434403,0.0,44000.0,2361771.67
12/09,12:36,QRIS MPM 040100015 9360091285659331931403,0.0,7000.0,2368771.67
12/09,13:19,QRIS MPM 040100015 9360091536029279437403,0.0,3000.0,2371771.67
13/09,08:48,QRIS MPM 040100015 9360091532865097931403,0.0,3000.0,2374771.67
13/09,08:53,QRIS MPM 040100015 9360091534760718931403,0.0,6000.0,2380771.67
13/09,09:17,QRIS MPM 040100015 9360014710101244935403,0.0,2000.0,2382771.67
13/09,10:05,QRIS MPM 040100015 9360001410176038137403,0.0,6000.0,2388771.67
13/09,10:21,QRIS MPM 040100015 9360000210063433338403,0.0,50000.0,2438771.67
13/09,10:25,QRIS MPM 040100015 9360001410069106033403,0.0,19000.0,2457771.67
15/09,00:08,POTONGAN BIY.ADM. 4560,10000.0,0.0,2447771.67
15/09,08:54,QRIS MPM 040100015 9360091531866299432403,0.0,13000.0,2460771.67
15/09,09:16,QRIS MPM 040100015 9360091530405252738403,0.0,6000.0,2466771.67
15/09,09:43,QRIS MPM 040100015 9360001410021925634403,0.0,6000.0,2472771.67
15/09,10:26,QRIS MPM 040100015 9360014710800140736403,0.0,18000.0,2490771.67
15/09,11:29,QRIS MPM 040100015 9360001410176038137403,0.0,11000.0,2501771.67
15/09,11:39,QRIS MPM 040100015 9360014710101244935403,0.0,29000.0,2530771.67
15/09,11:39,QRIS MPM 040100015 9360014710101244935403,0.0,29000.0,2559771.67
15/09,11:52,QRIS MPM 040100015 9360091430272056536403,0.0,10000.0,2569771.67
