TGL,WAKTU,KETERANGAN,DEBET,KREDIT,SALDO
05/01,08:03,QRIS MPM 040100015 9360001410038930139403,0.0,12000.0,3065677.56
05/01,08:19,QRIS MPM 040100015 9360053516078496631403,0.0,16000.0,3081677.56
05/01,08:23,QRIS MPM 040100015 9360091530322752830403,0.0,5500.0,3087177.56
05/01,08:24,QRIS MPM 040100015 9360053514899565231403,0.0,5000.0,3092177.56
05/01,08:24,QRIS MPM 040100015 936009113517169963403,0.0,10000.0,3102177.56
05/01,08:27,QRIS MPM 040100015 9360001410246640137403,0.0,8500.0,3110677.56
05/01,08:30,QRIS MPM 040100015 9360001410054092335403,0.0,15000.0,3125677.56
05/01,08:35,QRIS MPM 040100015 9360053515507430730403,0.0,20000.0,3145677.56
05/01,08:36,QRIS MPM 040100015 9360091539510815736403,0.0,7500.0,3153177.56
05/01,08:36,QRIS MPM 040100015 9360053512723692935403,0.0,13000.0,3166177.56
05/01,08:43,QRIS MPM 040100015 9360053519925150535403,0.0,7000.0,3173177.56
05/01,08:45,QRIS MPM 040100015 9360000210079262835403,0.0,8000.0,3181177.56
05/01,08:49,QRIS MPM 040100015 9360000210056596136403,0.0,30000.0,3211177.56
05/01,08:54,QRIS MPM 040100015 9360000210100667337403,0.0,7000.0,3218177.56
05/01,08:56,QRIS MPM 040100015 9360045111611477535403,0.0,16000.0,3234177.56
05/01,08:56,QRIS MPM 040100015 9360045111611477535403,0.0,16000.0,3250177.56
05/01,08:57,QRIS MPM 040100015 9360091430224144230403,0.0,7500.0,3257677.56
05/01,08:57,QRIS MPM 040100015 9360091534951127330403,0.0,9000.0,3266677.56
05/01,09:04,QRIS MPM 040100015 9360000913000007731403,0.0,10000.0,3276677.56
05/01,09:05,QRIS MPM 040100015 9360091535763751431403,0.0,6000.0,3282677.56
05/01,09:05,QRIS MPM 040100015 9360091535419419331403,0.0,4000.0,3286677.56
05/01,09:06,QRIS MPM 040100015 9360091536221185138403,0.0,15000.0,3301677.56
05/01,09:06,QRIS MPM 040100015 9360091536095168735403,0.0,7500.0,3309177.56
05/01,09:07,QRIS MPM 040100015 9360091430278211339403,0.0,4500.0,3313677.56
05/01,09:11,QRIS MPM 040100015 9360000210092817930403,0.0,10000.0,3323677.56
05/01,09:11,QRIS MPM 040100015 9360001410242185932403,0.0,17500.0,3341177.56
05/01,09:12,QRIS MPM 040100015 9360000812246081131403,0.0,7500.0,3348677.56
05/01,09:15,QRIS MPM 040100015 9360091533361166731403,0.0,12000.0,3360677.56
05/01,09:15,QRIS MPM 040100015 9360053518358010430403,0.0,17000.0,3377677.56
05/01,09:16,QRIS MPM 040100015 9360045112837000038403,0.0,16500.0,3394177.56
05/01,09:17,QRIS MPM 040100015 9360048418563710639403,0.0,23500.0,3417677.56
05/01,09:17,QRIS MPM 040100015 9360045112354368839403,0.0,26000.0,3443677.56
05/01,09:18,QRIS MPM 040100015 9360091537518250937403,0.0,3000.0,3446677.56
05/01,09:20,QRIS MPM 040100015 9360011011066636330403,0.0,12000.0,3458677.56
05/01,09:21,QRIS MPM 040100015 9360053515604029630403,0.0,11000.0,3469677.56
05/01,09:22,QRIS MPM 040100015 9360091830189596839403,0.0,18000.0,3487677.56
05/01,09:23,QRIS MPM 040100015 9360001410081075431403,0.0,8000.0,3495677.56
05/01,09:24,QRIS MPM 040100015 9360000210081986238403,0.0,4000.0,3499677.56
05/01,09:25,QRIS MPM 040100015 9360001410096927733403,0.0,10500.0,3510177.56
05/01,09:26,QRIS MPM 040100015 9360000210081986238403,0.0,6000.0,3516177.56
05/01,09:26,QRIS MPM 040100015 9360091534427629132403,0.0,8000.0,3524177.56
05/01,09:27,QRIS MPM 040100015 9360001410016252133403,0.0,8000.0,3532177.56
05/01,09:32,QRIS MPM 040100015 9360053512860627130403,0.0,11000.0,3543177.56
05/01,09:32,QRIS MPM 040100015 9360091531578507231403,0.0,8500.0,3551677.56
05/01,09:33,QRIS MPM 040100015 9360000210057190131403,0.0,8000.0,3559677.56
05/01,09:35,QRIS MPM 040100015 9360091530110266037403,0.0,3000.0,3562677.56
05/01,09:35,QRIS MPM 040100015 9360053511017339338403,0.0,10000.0,3572677.56
